CMDLINE C:\Users\peiman\AppData\Local\Programs\Python\Python310\python.exe main_test.py
MEM 2.222656 1669950719.1684
MEM 18.027344 1669950719.2759
MEM 24.699219 1669950719.3850
MEM 29.296875 1669950719.4960
MEM 33.769531 1669950719.6045
MEM 38.304688 1669950719.7146
MEM 42.605469 1669950719.8234
MEM 47.304688 1669950719.9337
MEM 52.031250 1669950720.0445
MEM 57.070312 1669950720.1563
MEM 62.011719 1669950720.2668
MEM 66.250000 1669950720.3764
MEM 81.894531 1669950720.4869
MEM 123.894531 1669950720.5966
MEM 172.152344 1669950720.7067
MEM 205.785156 1669950720.8167
MEM 262.742188 1669950720.9257
MEM 238.527344 1669950721.0343
MEM 240.554688 1669950721.1423
MEM 240.171875 1669950721.2518
MEM 241.617188 1669950721.3637
MEM 242.992188 1669950721.4729
MEM 244.273438 1669950721.5810
MEM 245.671875 1669950721.6897
MEM 247.113281 1669950721.7978
MEM 248.351562 1669950721.9067
MEM 249.699219 1669950722.0157
MEM 251.140625 1669950722.1248
MEM 252.429688 1669950722.2317
MEM 253.632812 1669950722.3407
MEM 254.964844 1669950722.4498
MEM 256.304688 1669950722.5608
MEM 257.527344 1669950722.6678
MEM 258.941406 1669950722.7793
MEM 260.285156 1669950722.8883
MEM 261.777344 1669950722.9983
MEM 263.042969 1669950723.1082
MEM 264.468750 1669950723.2193
MEM 265.835938 1669950723.3283
MEM 267.152344 1669950723.4383
MEM 268.511719 1669950723.5487
MEM 288.128906 1669950723.6594
MEM 270.738281 1669950723.7714
MEM 272.480469 1669950723.8812
MEM 272.941406 1669950723.9928
MEM 276.128906 1669950724.1029
MEM 275.742188 1669950724.2138
MEM 277.109375 1669950724.3250
MEM 278.628906 1669950724.4349
MEM 279.964844 1669950724.5455
MEM 281.218750 1669950724.6525
MEM 282.574219 1669950724.7636
MEM 283.777344 1669950724.8705
MEM 285.066406 1669950724.9795
MEM 286.472656 1669950725.0898
MEM 287.667969 1669950725.1996
MEM 288.933594 1669950725.3085
MEM 290.343750 1669950725.4191
MEM 291.800781 1669950725.5302
MEM 293.101562 1669950725.6408
MEM 294.300781 1669950725.7518
MEM 295.648438 1669950725.8619
MEM 297.058594 1669950725.9719
MEM 298.476562 1669950726.0799
MEM 299.960938 1669950726.1910
MEM 301.425781 1669950726.3016
MEM 277.035156 1669950726.4117
MEM 271.804688 1669950726.5223
MEM 274.222656 1669950726.6323
MEM 274.003906 1669950726.7426
MEM 275.226562 1669950726.8515
MEM 275.839844 1669950726.9615
MEM 277.000000 1669950727.0705
MEM 278.199219 1669950727.1800
MEM 279.371094 1669950727.2890
MEM 280.691406 1669950727.4000
MEM 282.015625 1669950727.5085
MEM 283.214844 1669950727.6182
MEM 284.484375 1669950727.7292
MEM 285.625000 1669950727.8403
MEM 286.882812 1669950727.9512
MEM 288.199219 1669950728.0612
MEM 289.398438 1669950728.1724
MEM 290.632812 1669950728.2844
MEM 291.890625 1669950728.3953
MEM 293.160156 1669950728.5063
MEM 294.332031 1669950728.6163
MEM 295.648438 1669950728.7282
MEM 296.781250 1669950728.8393
MEM 298.089844 1669950728.9513
MEM 299.363281 1669950729.0616
MEM 300.542969 1669950729.1721
MEM 301.761719 1669950729.2818
MEM 301.761719 1669950729.3936
MEM 301.761719 1669950729.5036
MEM 301.761719 1669950729.6136
MEM 301.761719 1669950729.7226
MEM 301.761719 1669950729.8316
MEM 301.761719 1669950729.9406
MEM 301.761719 1669950730.0506
MEM 301.761719 1669950730.1597
MEM 301.761719 1669950730.2696
MEM 301.761719 1669950730.3787
